MFCC_BEGIN

-2.579307,3.650474,-1.489438,-0.605788,-1.804607,-0.719506,-0.953038,-4.597578,-0.477348,3.769535,1.628985,1.156392,0.122903

-2.873749,3.379010,-1.353621,-1.029963,-2.343456,-0.713206,-0.845458,-4.622623,-0.531535,3.829298,1.891882,1.302363,-0.185472

-1.778373,2.819584,-1.139023,-0.605081,-1.679984,-0.651355,-1.304711,-4.435660,-0.193663,3.672813,1.707201,1.191446,0.037758

-2.612714,3.309970,-1.861643,-1.059062,-2.113336,-0.837057,-0.514370,-4.092174,-0.154306,4.215520,2.015501,1.291563,0.113679

-1.633422,2.296020,-1.504466,-1.048000,-1.950808,-0.692700,-1.065511,-4.038363,0.100977,3.969302,2.070594,1.346635,-0.027132

-2.212454,3.652191,-1.488349,-0.603685,-1.803940,-0.718747,-0.953379,-4.598910,-0.476471,3.770953,1.629517,1.156150,0.122878

-2.510673,3.380778,-1.354531,-1.031111,-2.345356,-0.712704,-0.843364,-4.621982,-0.532712,3.828680,1.891036,1.303088,-0.184971

-1.415935,2.816795,-1.140511,-0.606808,-1.680890,-0.651919,-1.304605,-4.434327,-0.194410,3.671432,1.707067,1.191346,0.037578

-2.256156,3.307599,-1.861049,-1.059126,-2.112688,-0.837249,-0.514881,-4.092108,-0.153888,4.215794,2.015491,1.291320,0.113450

-1.285887,2.297953,-1.503945,-1.047745,-1.951448,-0.692376,-1.064774,-4.039660,0.101093,3.969165,2.071181,1.345921,-0.026687

-1.870736,3.654611,-1.487671,-0.601840,-1.803339,-0.718075,-0.953833,-4.600116,-0.475508,3.772168,1.629353,1.156250,0.122607

-2.171416,3.381457,-1.354716,-1.030518,-2.346130,-0.713353,-0.842449,-4.621933,-0.533183,3.827994,1.892479,1.302275,-0.184831

-1.076645,2.813915,-1.140800,-0.608765,-1.681506,-0.652438,-1.304237,-4.433174,-0.195139,3.670089,1.707301,1.191442,0.037551

-1.923993,3.306331,-1.861651,-1.058504,-2.112046,-0.837838,-0.515942,-4.091722,-0.153446,4.215754,2.015536,1.291416,0.112463

-0.960616,2.300003,-1.503493,-1.048433,-1.951702,-0.691742,-1.063546,-4.039711,0.100372,3.969678,2.070545,1.346690,-0.026764

-1.549401,3.655131,-1.486457,-0.600000,-1.802519,-0.717327,-0.954412,-4.600827,-0.474563,3.773212,1.629519,1.156902,0.122131

-1.854372,3.383609,-1.355714,-1.031490,-2.346630,-0.713932,-0.840926,-4.621486,-0.534648,3.827950,1.891839,1.302122,-0.183505

-0.759698,2.812409,-1.142068,-0.610004,-1.682459,-0.652128,-1.304268,-4.432280,-0.195114,3.668846,1.707572,1.191387,0.037893

-1.611686,3.304609,-1.861314,-1.057321,-2.111877,-0.838268,-0.516865,-4.092098,-0.152580,4.214952,2.017018,1.289983,0.112579

-0.654495,2.301130,-1.502543,-1.048141,-1.951678,-0.691568,-1.064302,-4.040080,0.099662,3.970210,2.069383,1.347485,-0.027733

-1.247825,3.656251,-1.485099,-0.599221,-1.802255,-0.716455,-0.954902,-4.601728,-0.474212,3.774026,1.629850,1.156168,0.122454

-1.555571,3.384674,-1.355790,-1.032081,-2.346878,-0.714545,-0.838804,-4.621537,-0.535289,3.828446,1.891515,1.303154,-0.183979

-0.460856,2.810674,-1.143177,-0.611414,-1.682892,-0.652680,-1.303998,-4.431026,-0.196036,3.667955,1.707359,1.191507,0.037957

-1.317482,3.303764,-1.861709,-1.057416,-2.110830,-0.838352,-0.518041,-4.091327,-0.152054,4.214557,2.016341,1.290708,0.112755

-0.366649,2.302941,-1.502499,-1.047651,-1.952335,-0.691070,-1.063732,-4.041040,0.099697,3.970683,2.069664,1.346928,-0.027533

-0.963330,3.657711,-1.484909,-0.598173,-1.801543,-0.716062,-0.955018,-4.602544,-0.473535,3.775256,1.629386,1.156928,0.122184

-1.273267,3.385444,-1.356031,-1.031982,-2.347950,-0.714396,-0.838886,-4.621505,-0.536172,3.828447,1.891115,1.303073,-0.184540

-0.178660,2.809312,-1.143822,-0.612116,-1.683302,-0.653057,-1.304153,-4.430275,-0.196229,3.667227,1.707261,1.191610,0.038343

-1.038415,3.301726,-1.860341,-1.058100,-2.110408,-0.838517,-0.518689,-4.090397,-0.153373,4.215919,2.015479,1.291437,0.111860

-0.093272,2.305012,-1.502956,-1.047642,-1.952789,-0.690594,-1.062834,-4.041716,0.100177,3.969389,2.069898,1.346937,-0.026495

-0.694007,3.659213,-1.484723,-0.596566,-1.801427,-0.715780,-0.954830,-4.604002,-0.472429,3.775431,1.629688,1.156845,0.121884

-1.005520,3.386630,-1.357646,-1.031570,-2.349007,-0.714306,-0.838079,-4.620539,-0.537187,3.828430,1.891235,1.302824,-0.183698

0.088742,2.808067,-1.144542,-0.613638,-1.683634,-0.653364,-1.304015,-4.429720,-0.196480,3.666203,1.707168,1.191599,0.038311

-0.774381,3.299994,-1.859402,-1.057787,-2.109063,-0.839519,-0.519748,-4.090682,-0.152740,4.216472,2.015578,1.291352,0.111085

0.165683,2.305954,-1.502371,-1.047118,-1.952455,-0.690932,-1.062896,-4.042101,0.099826,3.970403,2.069827,1.346984,-0.027087

-0.438215,3.660453,-1.484254,-0.595753,-1.800951,-0.715539,-0.955621,-4.604038,-0.472636,3.776840,1.629345,1.156697,0.121799

-0.750436,3.386843,-1.357874,-1.031958,-2.348918,-0.715511,-0.836655,-4.620678,-0.537066,3.827047,1.891781,1.303215,-0.184172

0.343946,2.805428,-1.144445,-0.614595,-1.683532,-0.653960,-1.304045,-4.428691,-0.196624,3.665699,1.707009,1.191662,0.038225

-0.523553,3.299791,-1.860936,-1.057102,-2.109346,-0.839212,-0.519995,-4.090475,-0.151673,4.214846,2.016402,1.290672,0.111885

